id,latitude,longitude,height,type
start,31.2304000,121.4737000,8.0,start
road_00,31.2304000,121.4737000,8.0,road
road_01,31.2304045,121.4737210,8.0,road
road_02,31.2304135,121.4737525,8.0,road
road_03,31.2304269,121.4737840,8.0,road
road_04,31.2304359,121.4738261,8.0,road
road_05,31.2304467,121.4738681,8.0,road
road_06,31.2304629,121.4739101,8.0,road
road_07,31.2304683,121.4739311,8.0,road
goal,31.2304719,121.4739521,8.0,goal
obstacle_01,31.2304359,121.4738261,8.0,obstacle
obstacle_02,31.2304494,121.4738891,8.0,obstacle
boundary_01,31.2303731,121.4736685,8.0,boundary
boundary_02,31.2303731,121.4739836,8.0,boundary
boundary_03,31.2304988,121.4739836,8.0,boundary
boundary_04,31.2304988,121.4736685,8.0,boundary
boundary_05,31.2303731,121.4736685,8.0,boundary
